S/N,Assessment,Remarks,,,Weighting
1,"Understanding of
Client Profile","Participants are expected to demonstrate understanding of the
client’s:
• Risk and return profile
• Investment objectives
• Investment constraints
Additionally, participants should take note of important
information that should be obtained from the client in the next
meeting, to better construct an investment portfolio which
aligns with the client’s needs.",,,15%
2.,"Investment
Outlook",,,,15%
,,,Participants are expected to assess the macroeconomic,,
,,,environment and identify:,,
,,,• Current macroeconomic themes,,
,,,• Potential opportunities and risks across different asset,,
,,,classes/regions/sectors,,
3.,"Understanding of
Core Concepts in
Private Banking","Participants are expected convince the client in correcting his
views on Modern Portfolio Theory and help him understand the
role Alternative Investments play in a portfolio, in a clear and
concise manner.",,,10%
4,"Portfolio Asset
Allocation (Part i)","Participants are expected to construct suitable asset allocation
for the client’s new portfolio, as well as calculate the expected
cash return and capital gain return from the new portfolio.",,,20%
5.,"Portfolio Asset
Allocation (Part ii)","Participants are expected to select funds and alternatives
investments in appendices I & II in his proposed portfolio, as
well as provide justification for the selections.",,,15%
6.,Credit Solutions,"Participants are expected to propose and elaborate >= 1 type
of Private Banking lending solution(s) based on Mr. Seng’s
assets.",,,15%
7.,"General Quality of
Presentation",,,,10%
,,,Participants are expected to submit a thoughtfully designed and,,
,,,"concise proposal deck, including but not limited to:",,
,,,• General aesthetics,,
,,,• Flow,,
,,,• Readability/Ease of understanding,,
,,,• Non-excessive use of jargon,,
,,,,,
