ISIN,,Fund,"Annualized
Return1","Annualized
Volatility1","Advance
Ratio",
,Equities,,,,,
,US Equities,,,,,
LU0079474960,,AB American Growth Portfolio,12.6%,18.2%,70%,
LU0823410997,,BNP US Small Cap,8.0%,20.4%,70%,
LU0210528500,,JPMorgan America Equity Fund,14.4%,15.6%,70%,
LU0210536511,,JPMorgan US Value,10.6%,14.8%,70%,
LU0674140396,,Robeco US Select Opportunities Equity,10.7%,18.0%,70%,
,Europeans Equities,,,,,
LU1153584641,,BlackRock European Equity Income,10.7%,13.0%,70%,
LU0171276677,,BlackRock European Special Situations Fund,2.2%,20.6%,70%,
LU0997586606,,Fidelity European Growth Fund,10.1%,12.2%,70%,
LU1193295406,,HSBC GIF Euroland Value Equity,16.5%,16.7%,70%,
LU0336375786,,JPMorgan Europe Equity Plus,15.7%,16.2%,70%,
,Japanese Equities,,,,,
LU0006061252,,BlackRock Japan Small & Midcap Opportunities,5.1%,14.3%,70%,
LU0129465034,,JPMorgan Japan,3.7%,19.4%,70%,
LU1684384271,,M&G Japan,12.6%,14.3%,70%,
LU0936264273,,Pictet Japanese Equity Opportunities,18.0%,12.4%,70%,
LU1453624402,,Schroder Japanese Equity,3.6%,14.1%,70%,
,Asia ex-Japan Equities,,,,,
IE00B067MR52,,FSSA Asian Equity Plus,2.6%,15.8%,70%,
LU0197773160,,HSBC Asia ex Japan Equity High Dividend,7.7%,16.0%,70%,
HK0000055555,,JPMorgan ASEAN,5.8%,14.5%,70%,
LU0188438112,,Schroder Asian Equity Yield,8.7%,16.7%,70%,
LU0390135332,,Templeton Asian Smaller Companies,8.8%,15.5%,70%,
,Fixed Income,,,,,
,Global Investment Grade Bonds,,,,,
LU1728044204,,HSBC Global IG Securitised Credit,3.5%,2.0%,80%,
