LU1128926489,,JPMorgan Income,2.3%,4.3%,70%,
IE00B8K7V925,,PIMCO Income,3.2%,5.7%,80%,
LU1514167136,,Schroder Global Credit Income,2.4%,6.3%,80%,
,Global High Yield Bonds,,,,,
LU1008669860,,AB Global High Yield,3.9%,7.3%,60%,
LU0171284770,,BlackRock Global High Yield Bond,3.4%,6.7%,70%,
LU0780247044,,HSBC Global High Yield Bond,2.4%,6.6%,60%,
LU0418832605,,Schroder Global High Yield,3.8%,6.9%,70%,
,Emerging Markets Hard Currency Debt,,,,,
LU0200680600,,BlackRock Emerging Markets Bond,3.2%,9.8%,75%,
LU0605512275,,Fidelity Asian Bond,1.0%,9.8%,75%,
LU0562246024,,JPMorgan Emerging Markets Investment Grade,-0.2%,7.5%,80%,
,Emerging Markets Local Currency Debt,,,,,
LU0679941327,,BlackRock China Bond,1.4%,10.7%,75%,
LU0780247804,,HSBC GIF India Fixed Income,0.4%,5.0%,75%,
LU0692309627,,HSBC GIF RMB Fixed Income,0.4%,6.0%,80%,
,Thematic,,,,,
LU1548497426,,Allianz Global Artificial Intelligence,7.0%,25.7%,70%,
LU0124384867,,BlackRock Sustainable Energy,7.1%,21.2%,70%,
LU0106831901,,BlackRock World Financials,19.1%,24.2%,70%,
LU0055631609,,BlackRock World Gold,14.5%,30.5%,70%,
LU0109394709,,Franklin Biotechnology Discovery,5.2%,19.9%,70%,
IE0009355771,,Janus Henderson Global Life Sciences,5.6%,15.4%,70%,
LU0070992663,,Janus Henderson Global Technology Leaders,15.8%,20.6%,75%,
LU0101692670,,Pictet Digital,3.2%,5.7%,70%,
LU1861558580,,Nikko AM ARK Disruptive Innovation,-2.7%,42.0%,70%,
LU1983299162,,Schroder Global Alternative Energy,-0.5%,26.3%,70%,
